,Time,Values
729,0.3645,1.187683284
730,0.365,1.202346041
731,0.3655,1.221896383
732,0.366,1.241446725
733,0.3665,1.256109482
734,0.367,1.256109482
735,0.3675,1.246334311
736,0.368,1.246334311
737,0.3685,1.241446725
738,0.369,1.231671554
739,0.3695,1.212121212
740,0.37,1.182795699
741,0.3705,1.202346041
742,0.371,1.226783969
743,0.3715,1.217008798
744,0.372,1.231671554
745,0.3725,1.256109482
746,0.373,1.260997067
747,0.3735,1.256109482
748,0.374,1.256109482
749,0.3745,1.23655914
750,0.375,1.226783969
751,0.3755,1.246334311
752,0.376,1.251221896
753,0.3765,1.241446725
754,0.377,1.23655914
755,0.3775,1.23655914
756,0.378,1.221896383
757,0.3785,1.207233627
758,0.379,1.202346041
759,0.3795,1.207233627
760,0.38,1.217008798
761,0.3805,1.217008798
762,0.381,1.207233627
763,0.3815,1.212121212
764,0.382,1.217008798
765,0.3825,1.231671554
766,0.383,1.231671554
767,0.3835,1.231671554
768,0.384,1.256109482
769,0.3845,1.260997067
770,0.385,1.226783969
771,0.3855,1.212121212
772,0.386,1.217008798
773,0.3865,1.231671554
774,0.387,1.256109482
775,0.3875,1.270772239
776,0.388,1.285434995
777,0.3885,1.329423265
778,0.389,1.383186706
779,0.3895,1.407624633
780,0.39,1.407624633
781,0.3905,1.397849462
782,0.391,1.373411535
783,0.3915,1.339198436
784,0.392,1.319648094
785,0.3925,1.329423265
786,0.393,1.329423265
787,0.3935,1.309872923
788,0.394,1.290322581
789,0.3945,1.275659824
790,0.395,1.275659824
791,0.3955,1.28054741
792,0.396,1.290322581
793,0.3965,1.290322581
794,0.397,1.275659824
795,0.3975,1.28054741
796,0.398,1.28054741
797,0.3985,1.246334311
798,0.399,1.226783969
799,0.3995,1.221896383
800,0.4,1.207233627
801,0.4005,1.197458456
802,0.401,1.187683284
803,0.4015,1.173020528
804,0.402,1.177908113
805,0.4025,1.202346041
806,0.403,1.221896383
807,0.4035,1.217008798
808,0.404,1.207233627
809,0.4045,1.217008798
810,0.405,1.246334311
811,0.4055,1.251221896
